t,evidence
0.4,0.19867075311382565
0.8,0.3973415062276513
1.2000000000000002,0.596012259341477
4.4,-0.3823890636680267
4.8,-0.7647781273360534
5.2,-1.1471671910040804
5.6,-1.5295562546721069
6.0,-1.9119453183401336
8.4,-0.18870245807407598
8.8,-0.37740491614815197
9.2,-0.566107374222228
9.6,-0.7548098322963039
10.0,-0.9435122903703799
12.4,0.779730569895678
12.8,1.559461139791356
13.2,2.3391917096870345
16.4,-0.7697622748559283
16.8,-1.5395245497118566
20.4,0.39235735870777644
20.8,0.7847147174155529
21.2,1.1770720761233295
24.4,0.004984147519874838
24.8,0.009968295039749676
25.2,0.014952442559624515
25.6,0.019936590079499352
26.0,0.024920737599374188
28.4,-0.3823890636680267
28.8,-0.7647781273360534
32.4,-0.5760756692619776
32.8,-1.1521513385239552
33.2,-1.728227007785933
33.6,-2.3043026770479105
34.0,-2.8803783463098878
36.4,0.5860439643017272
36.8,1.1720879286034545
37.2,1.758131892905182
37.6,2.344175857206909
40.4,0.9734171754896288
40.8,1.9468343509792576
41.2,2.9202515264688866
41.6,3.893668701958515
44.4,-0.5760756692619776
44.8,-1.1521513385239552
48.4,0.5860439643017272
48.8,1.1720879286034545
49.2,1.758131892905182
52.4,0.004984147519874838
52.8,0.009968295039749676
53.2,0.014952442559624515
53.6,0.019936590079499352
56.4,0.19867075311382565
56.8,0.3973415062276513
57.2,0.596012259341477
57.6,0.7946830124553026
58.0,0.9933537655691281
58.4,1.1920245186829537
60.4,0.9734171754896288
60.8,1.9468343509792576
61.2,2.9202515264688866
64.4,0.39235735870777644
64.8,0.7847147174155529
65.2,1.1770720761233295
65.6,1.5694294348311058
68.4,0.779730569895678
68.8,1.559461139791356
69.2,2.3391917096870345
69.6,3.118922279582712
72.4,-0.7697622748559283
72.8,-1.5395245497118566
76.4,0.19867075311382565
76.8,0.3973415062276513
77.2,0.596012259341477
77.6,0.7946830124553026
78.0,0.9933537655691281
80.4,0.9734171754896288
80.8,1.9468343509792576
81.2,2.9202515264688866
81.6,3.893668701958515
84.4,0.39235735870777644
84.8,0.7847147174155529
85.2,1.1770720761233295
85.6,1.5694294348311058
86.0,1.9617867935388822
86.4,2.3541441522466586
88.4,-0.7697622748559283
88.8,-1.5395245497118566
92.4,-0.18870245807407598
92.8,-0.37740491614815197
93.2,-0.566107374222228
93.6,-0.7548098322963039
94.0,-0.9435122903703799
96.4,0.779730569895678
96.8,1.559461139791356
97.2,2.3391917096870345
97.6,3.118922279582712
100.4,0.004984147519874838
100.8,0.009968295039749676
101.2,0.014952442559624515
101.6,0.019936590079499352
102.0,0.024920737599374188
102.4,0.029904885119249023
104.4,0.5860439643017272
104.8,1.1720879286034545
105.2,1.758131892905182
108.4,0.19867075311382565
108.8,0.3973415062276513
109.2,0.596012259341477
112.4,-0.5760756692619776
112.8,-1.1521513385239552
116.4,0.9734171754896288
116.8,1.9468343509792576
117.2,2.9202515264688866
117.6,3.893668701958515
120.4,-0.18870245807407598
120.8,-0.37740491614815197
121.2,-0.566107374222228
121.6,-0.7548098322963039
124.4,0.5860439643017272
124.8,1.1720879286034545
125.2,1.758131892905182
128.4,-0.18870245807407598
128.8,-0.37740491614815197
129.2,-0.566107374222228
129.6,-0.7548098322963039
130.0,-0.9435122903703799
132.4,0.5860439643017272
132.8,1.1720879286034545
133.2,1.758131892905182
133.6,2.344175857206909
134.0,2.930219821508636
134.4,3.516263785810363
136.4,-0.3823890636680267
136.8,-0.7647781273360534
137.2,-1.1471671910040804
137.6,-1.5295562546721069
138.0,-1.9119453183401336
138.4,-2.2943343820081603
138.8,-2.6767234456761875
140.4,0.5860439643017272
140.8,1.1720879286034545
141.2,1.758131892905182
141.6,2.344175857206909
142.0,2.930219821508636
142.4,3.516263785810363
144.4,-0.7697622748559283
144.8,-1.5395245497118566
148.4,-0.3823890636680267
148.8,-0.7647781273360534
149.2,-1.1471671910040804
152.4,-0.5760756692619776
152.8,-1.1521513385239552
153.2,-1.728227007785933
153.6,-2.3043026770479105
156.4,0.9734171754896288
156.8,1.9468343509792576
157.2,2.9202515264688866
157.6,3.893668701958515
158.0,4.867085877448144
158.4,5.840503052937772
160.4,0.779730569895678
160.8,1.559461139791356
161.2,2.3391917096870345
161.6,3.118922279582712
162.0,3.89865284947839
164.4,0.779730569895678
164.8,1.559461139791356
165.2,2.3391917096870345
165.6,3.118922279582712
166.0,3.89865284947839
166.4,4.678383419374068
166.8,5.458113989269747
168.4,0.19867075311382565
168.8,0.3973415062276513
169.2,0.596012259341477
169.6,0.7946830124553026
170.0,0.9933537655691281
172.4,0.39235735870777644
172.8,0.7847147174155529
173.2,1.1770720761233295
176.4,-0.7697622748559283
176.8,-1.5395245497118566
180.4,0.39235735870777644
180.8,0.7847147174155529
181.2,1.1770720761233295
181.6,1.5694294348311058
184.4,0.9734171754896288
184.8,1.9468343509792576
185.2,2.9202515264688866
185.6,3.893668701958515
186.0,4.867085877448144
188.4,0.779730569895678
188.8,1.559461139791356
189.2,2.3391917096870345
192.4,0.004984147519874838
192.8,0.009968295039749676
193.2,0.014952442559624515
193.6,0.019936590079499352
196.4,-0.5760756692619776
196.8,-1.1521513385239552
197.2,-1.728227007785933
200.4,0.19867075311382565
200.8,0.3973415062276513
201.2,0.596012259341477
201.6,0.7946830124553026
204.4,0.004984147519874838
204.8,0.009968295039749676
205.2,0.014952442559624515
205.6,0.019936590079499352
206.0,0.024920737599374188
206.4,0.029904885119249023
206.8,0.034889032639123865
208.4,-0.7697622748559283
208.8,-1.5395245497118566
212.4,-0.3823890636680267
212.8,-0.7647781273360534
213.2,-1.1471671910040804
213.6,-1.5295562546721069
214.0,-1.9119453183401336
214.4,-2.2943343820081603
214.8,-2.6767234456761875
216.4,0.39235735870777644
216.8,0.7847147174155529
217.2,1.1770720761233295
217.6,1.5694294348311058
218.0,1.9617867935388822
218.4,2.3541441522466586
220.4,0.779730569895678
220.8,1.559461139791356
221.2,2.3391917096870345
221.6,3.118922279582712
222.0,3.89865284947839
224.4,-0.5760756692619776
224.8,-1.1521513385239552
228.4,-0.3823890636680267
228.8,-0.7647781273360534
232.4,-0.5760756692619776
232.8,-1.1521513385239552
233.2,-1.728227007785933
236.4,0.9734171754896288
236.8,1.9468343509792576
237.2,2.9202515264688866
240.4,0.19867075311382565
240.8,0.3973415062276513
241.2,0.596012259341477
244.4,0.9734171754896288
244.8,1.9468343509792576
245.2,2.9202515264688866
248.4,0.19867075311382565
248.8,0.3973415062276513
249.2,0.596012259341477
249.6,0.7946830124553026
250.0,0.9933537655691281
250.4,1.1920245186829537
252.4,0.5860439643017272
252.8,1.1720879286034545
253.2,1.758131892905182
253.6,2.344175857206909
254.0,2.930219821508636
256.4,0.779730569895678
256.8,1.559461139791356
257.2,2.3391917096870345
257.6,3.118922279582712
260.4,0.39235735870777644
260.8,0.7847147174155529
261.2,1.1770720761233295
264.4,0.5860439643017272
264.8,1.1720879286034545
265.2,1.758131892905182
265.6,2.344175857206909
268.4,0.004984147519874838
268.8,0.009968295039749676
269.2,0.014952442559624515
269.6,0.019936590079499352
270.0,0.024920737599374188
270.4,0.029904885119249023
272.4,0.19867075311382565
272.8,0.3973415062276513
273.2,0.596012259341477
273.6,0.7946830124553026
274.0,0.9933537655691281
274.4,1.1920245186829537
274.8,1.3906952717967795
276.4,-0.18870245807407598
276.8,-0.37740491614815197
277.2,-0.566107374222228
277.6,-0.7548098322963039
278.0,-0.9435122903703799
278.4,-1.1322147484444558
278.8,-1.320917206518532
280.4,-0.7697622748559283
280.8,-1.5395245497118566
281.2,-2.3092868245677853
284.4,-0.3823890636680267
284.8,-0.7647781273360534
288.4,0.39235735870777644
288.8,0.7847147174155529
289.2,1.1770720761233295
289.6,1.5694294348311058
290.0,1.9617867935388822
290.4,2.3541441522466586
292.4,-0.5760756692619776
292.8,-1.1521513385239552
296.4,0.5860439643017272
296.8,1.1720879286034545
297.2,1.758131892905182
297.6,2.344175857206909
298.0,2.930219821508636
300.4,-0.7697622748559283
300.8,-1.5395245497118566
304.4,0.9734171754896288
304.8,1.9468343509792576
305.2,2.9202515264688866
308.4,-0.18870245807407598
308.8,-0.37740491614815197
309.2,-0.566107374222228
312.4,0.9734171754896288
312.8,1.9468343509792576
313.2,2.9202515264688866
313.6,3.893668701958515
316.4,0.779730569895678
316.8,1.559461139791356
317.2,2.3391917096870345
317.6,3.118922279582712
