t,evidence
0.4,0.4426324723232067
0.8,0.8852649446464134
1.2000000000000002,1.32789741696962
1.6,1.7705298892928267
4.4,-0.02602990978139057
4.8,-0.05205981956278114
5.2,-0.07808972934417172
5.6,-0.10411963912556228
6.0,-0.13014954890695285
8.4,0.1301908842534752
12.4,0.9112948544278039
16.4,-0.338471497851122
16.8,-0.676942995702244
20.4,0.5988532663580725
20.8,1.197706532716145
24.4,0.2864116782883409
28.4,-0.02602990978139057
32.4,-0.18225070381625633
32.8,-0.36450140763251265
36.4,0.7550740603929381
40.4,1.0675156484626696
44.4,-0.18225070381625633
48.4,0.7550740603929381
52.4,0.2864116782883409
56.4,0.4426324723232067
60.4,1.0675156484626696
64.4,0.5988532663580725
68.4,0.1301908842534752
72.4,0.9112948544278039
76.4,-0.338471497851122
80.4,0.4426324723232067
84.4,1.0675156484626696
88.4,0.5988532663580725
88.8,1.197706532716145
92.4,-0.338471497851122
96.4,0.1301908842534752
96.8,0.2603817685069504
100.4,0.9112948544278039
104.4,0.2864116782883409
104.8,0.5728233565766818
105.2,0.8592350348650228
108.4,0.7550740603929381
112.4,0.4426324723232067
112.8,0.8852649446464134
116.4,-0.18225070381625633
120.4,1.0675156484626696
124.4,0.1301908842534752
124.8,0.2603817685069504
128.4,0.7550740603929381
132.4,0.1301908842534752
136.4,0.1301908842534752
140.4,0.7550740603929381
144.4,-0.02602990978139057
148.4,0.7550740603929381
148.8,1.5101481207858762
152.4,-0.338471497851122
156.4,-0.02602990978139057
160.4,-0.18225070381625633
164.4,1.0675156484626696
168.4,0.9112948544278039
172.4,0.9112948544278039
172.8,1.8225897088556078
176.4,0.2864116782883409
176.8,0.5728233565766818
180.4,0.5988532663580725
184.4,0.4426324723232067
184.8,0.8852649446464134
188.4,0.5988532663580725
188.8,1.197706532716145
192.4,-0.338471497851122
192.8,-0.676942995702244
196.4,0.5988532663580725
196.8,1.197706532716145
200.4,1.0675156484626696
204.4,0.9112948544278039
208.4,0.2864116782883409
208.8,0.5728233565766818
212.4,-0.18225070381625633
216.4,0.4426324723232067
216.8,0.8852649446464134
220.4,0.2864116782883409
220.8,0.5728233565766818
221.2,0.8592350348650228
224.4,-0.338471497851122
224.8,-0.676942995702244
228.4,-0.02602990978139057
232.4,0.5988532663580725
236.4,0.9112948544278039
240.4,-0.18225070381625633
244.4,-0.02602990978139057
244.8,-0.05205981956278114
248.4,-0.18225070381625633
252.4,0.2864116782883409
252.8,0.5728233565766818
256.4,1.0675156484626696
256.8,2.135031296925339
260.4,0.4426324723232067
264.4,1.0675156484626696
268.4,0.4426324723232067
272.4,0.7550740603929381
272.8,1.5101481207858762
276.4,0.9112948544278039
280.4,0.5988532663580725
284.4,0.7550740603929381
288.4,0.2864116782883409
288.8,0.5728233565766818
292.4,0.4426324723232067
292.8,0.8852649446464134
296.4,0.1301908842534752
296.8,0.2603817685069504
300.4,-0.338471497851122
304.4,-0.02602990978139057
308.4,0.1301908842534752
312.4,-0.02602990978139057
312.8,-0.05205981956278114
313.2,-0.07808972934417172
316.4,0.5988532663580725
316.8,1.197706532716145
317.2,1.7965597990742175
320.4,-0.18225070381625633
320.8,-0.36450140763251265
324.4,0.7550740603929381
328.4,-0.338471497851122
332.4,1.0675156484626696
332.8,2.135031296925339
336.4,0.1301908842534752
336.8,0.2603817685069504
340.4,1.0675156484626696
344.4,0.9112948544278039
344.8,1.8225897088556078
345.2,2.733884563283412
348.4,-0.338471497851122
348.8,-0.676942995702244
352.4,0.4426324723232067
356.4,0.9112948544278039
360.4,0.5988532663580725
360.8,1.197706532716145
364.4,0.2864116782883409
368.4,0.7550740603929381
368.8,1.5101481207858762
372.4,-0.02602990978139057
376.4,0.2864116782883409
376.8,0.5728233565766818
380.4,-0.338471497851122
384.4,-0.02602990978139057
388.4,0.1301908842534752
392.4,-0.18225070381625633
396.4,-0.18225070381625633
