subject_id,run,session,α,τ,z,drift_intercept,drift_slope,drift_angry,drift_neutral,drift_ambiguous
1,1,glc,3.16571202949801,0.6573416698369628,0.2231004960540197,0.333950028684846,-0.2429276029874787,1.4271242421285002,-0.7592241847588082,0.333950028684846
2,1,glc,2.05902210043596,0.29758816612810923,0.5476534897860892,0.06577210249612317,-0.13528794327237154,0.6745678472217951,-0.5430236422295487,0.06577210249612317
3,1,glc,1.577020929905798,0.572443787246945,0.3953242250217757,0.050860974181317825,-0.6864397352626114,3.1398397828630693,-3.0381178345004334,0.050860974181317825
4,1,glc,2.01305535254324,0.47356885140628263,0.5234263731093013,0.12008049771052691,-0.2375370227976523,1.1889971002999622,-0.9488361048789083,0.12008049771052691
7,1,glc,1.3406326171367005,0.5603533946096169,0.4139100362652863,0.23949487205179892,-0.5237669994875092,2.59644636974559,-2.117456625641992,0.23949487205179892
8,1,glc,1.8901311657965083,0.6314372309161841,0.3897288927097208,0.10654876221223279,-0.4765212129149145,2.2508942203293483,-2.0377966959048823,0.10654876221223279
9,1,glc,1.2897241224403917,0.5960290851922364,0.36991472443336904,1.372446019581224,-0.298614083843273,2.7162093968759526,0.02868264228649564,1.372446019581224
10,1,glc,1.710667593412396,0.7042266053844243,0.3737468752115022,0.8102628957716012,-0.1857438801497615,1.646110356445528,-0.025584564902325635,0.8102628957716012
11,1,glc,1.874485893889316,0.4978104177474324,0.3563545810437311,0.8359115060260424,-0.29315758260300345,2.155120627739558,-0.4832976156874732,0.8359115060260424
13,1,glc,2.7325871587151513,0.516818445898915,0.4142595122295682,0.3915984951619349,-0.673844723348923,3.4238997502320885,-2.6407027599082182,0.3915984951619349
16,1,glc,1.3156400481301822,0.570525283657466,0.5714404888917594,0.5230114261242318,-0.30022316765146706,1.8740156805558335,-0.8279928283073699,0.5230114261242318
18,1,glc,1.2738591058757902,0.5860501094933598,0.5874481978813147,0.20169974431830984,-0.22283664167049433,1.2044646318355343,-0.8010651431989148,0.20169974431830984
19,1,glc,2.299169875874724,0.542582802588965,0.2981420555620985,0.4536844536004948,-0.3447239578238844,2.0049422638079744,-1.097573356606985,0.4536844536004948
20,1,glc,2.0461160102490887,0.6366420040971227,0.33057630788673775,0.6130511179530889,-0.328097496315769,2.0894898513740494,-0.8633876154678717,0.6130511179530889
21,1,glc,2.416562588216736,0.6510462962507456,0.3626825861137286,1.3421043060206435,-0.7068783482006671,4.523056872923645,-1.8388482608823584,1.3421043060206435
22,1,glc,2.0103773932395756,0.8306743804885879,0.6003473694221787,-0.24086370279500519,-0.014721588524695416,-0.1746165544338758,-0.30711085115613457,-0.24086370279500519
28,1,glc,2.219413242406218,0.700280110132161,0.3930329046250669,0.6897384087938153,-0.36888939921524827,2.3497407052624326,-0.9702638876748019,0.6897384087938153
29,1,glc,1.815700005652922,0.5883265975398599,0.4334384627293776,-0.6662971347248702,-0.6572353243538772,2.2912618248675773,-3.6238560943173175,-0.6662971347248702
32,1,glc,1.5820582832988976,0.4095183406892422,0.49098962792442435,1.1138753143753108,-0.2693056712759785,2.325750835117214,-0.09800020636659235,1.1138753143753108
33,1,glc,3.045922145710044,0.7794472225410967,0.3496417573279529,0.31412471671132003,-0.25389734179120377,1.4566627547717368,-0.8284133213490968,0.31412471671132003
34,1,glc,3.024029158095702,0.2055972969835663,0.4539344920062644,0.06821436476892456,-0.22204960379778657,1.067437581858964,-0.9310088523211151,0.06821436476892456
36,1,glc,2.372398694882913,0.21217943920698104,0.3623305884519262,0.6355329291618221,-0.24689209852727312,1.7465473725345513,-0.475481514210907,0.6355329291618221
37,1,glc,1.9445507257612136,0.6056507280780237,0.39419080785066885,-0.15709377500220117,-0.5480897582416553,2.3093101370852476,-2.62349768708965,-0.15709377500220117
38,1,glc,4.466901168024251,0.662436634737609,0.13202038558622703,0.7250953190754165,-0.3924327279003301,2.491042594626902,-1.040851956476069,0.7250953190754165
40,1,glc,2.7867055730790184,0.6041003445327643,0.38416459858690405,-0.29599661066419586,-0.48588955598740924,1.8905063912791458,-2.4824996126075374,-0.29599661066419586
41,1,glc,2.0366782958394825,0.6338284069811877,0.3346262484749326,0.2807142038232994,-0.42588445896387384,2.1971942691607316,-1.6357658615141328,0.2807142038232994
43,1,glc,1.5561243571730332,0.585919813876197,0.5027598826703681,0.2759459065757864,-0.6157462391616864,3.0468039828033753,-2.494912169651802,0.2759459065757864
101,1,glc,2.865481043887129,0.7407010872219257,0.3605801525910146,0.1384294732938162,-0.29851039305566224,1.4817262420442963,-1.2048672954566637,0.1384294732938162
102,1,glc,3.410296401042367,0.1926889265622533,0.5296227201268574,-0.3217906746655882,-0.28507740685620914,0.9610576561873528,-1.6046390055185293,-0.3217906746655882
104,1,glc,1.5806438353215717,0.6657316331421922,0.5221459673946843,0.39246799390356235,-0.5767346766339689,2.9877740387564224,-2.2028380509492975,0.39246799390356235
105,1,glc,1.3376820860366128,0.5117374548671785,0.5359609084364992,0.9113051882644344,-0.3905519850871643,2.668789121156674,-0.846178744627805,0.9113051882644344
106,1,glc,3.048239858490773,0.1910665212803592,0.3473261115480971,0.3376683156143686,-0.28425380523670496,1.6168104391795408,-0.9414738079508037,0.3376683156143686
107,1,glc,1.963884943412127,0.6445022951438202,0.4616979055032178,0.2652259907913565,-0.22488344258262605,1.2772014824131737,-0.7467495008304605,0.2652259907913565
111,1,glc,1.405402354059873,0.508994112308612,0.42246336535461115,0.7632966700355523,-0.4194200283138212,2.6506867974477477,-1.124093457376643,0.7632966700355523
117,1,glc,2.3086288500375933,0.4874232193020184,0.47944181451756984,0.023440280243180033,-0.4734105415645339,2.1537877172835826,-2.1069071567972224,0.023440280243180033
118,1,glc,1.8945676199792298,0.6673314634254408,0.26815956663568324,0.6806666253915439,-0.32195804293028607,2.129477818577831,-0.7681445677947434,0.6806666253915439
119,1,glc,2.0701092104097607,0.6283445143441697,0.3703766476919888,0.4015829927242021,-0.3817323983608453,2.119378785348006,-1.3162127998996018,0.4015829927242021
