subject_id,run,session,α,τ,z,drift_intercept,drift_slope,drift_angry,drift_neutral,drift_ambiguous
1,1,bhb,4.629866642649011,0.6547769031936592,0.13007493004219092,0.7875019348512169,-0.4004329356136579,2.5894501451126777,-1.0144462754102437,0.7875019348512169
2,1,bhb,1.7787055650197066,0.2940927441656631,0.5725506226639863,0.11289377815351818,-0.12966833621579898,0.6964012911246136,-0.4706137348175772,0.11289377815351818
3,1,bhb,1.507758818944703,0.5706818000651342,0.4937520328357484,-0.1306552438211293,-0.5621399948121425,2.3989747328335116,-2.6602852204757705,-0.1306552438211293
4,1,bhb,1.765921103009724,0.40108373868110553,0.4813884971145527,0.6433906027080791,-0.22071714271861168,1.6366177449418315,-0.3498365395256734,0.6433906027080791
7,1,bhb,1.6994823303027633,0.5514920994257527,0.39423197643535285,0.24885070492683728,-0.5986789319367237,2.942905898642094,-2.4452044887884195,0.24885070492683728
8,1,bhb,2.1272883151620325,0.6333997366445319,0.3531074404470273,0.061703137207664654,-0.5542423319386462,2.5557936309315727,-2.432387356516243,0.061703137207664654
9,1,bhb,1.2893819295883597,0.5934288473365924,0.49978768428537673,0.9763228176359606,-0.3573630224785475,2.5844564187894243,-0.6318107835175031,0.9763228176359606
10,1,bhb,1.7492762695625197,0.7028207957198765,0.41484270641336485,0.7922396910151918,-0.16357437365188152,1.5283243724486586,0.056155009581724924,0.7922396910151918
11,1,bhb,1.665418065878713,0.5112917077852185,0.3307680222792131,1.0538257023529483,-0.37562316384358096,2.7441299396490626,-0.6364785349431661,1.0538257023529483
13,1,bhb,2.317421780689111,0.6772471528042413,0.3844874118478884,0.7778040251934613,-0.4261557242965914,2.695504784528122,-1.1398967341411999,0.7778040251934613
16,1,bhb,1.8062616287629338,0.6010906766124243,0.4657340363482465,1.1123835844179082,-0.24122332029886162,2.1978885257627856,0.026878643073030783,1.1123835844179082
18,1,bhb,1.4845722631490015,0.5019152663607042,0.49043974278485347,0.4795772239676084,-0.16143919639363227,1.2060536077389536,-0.2468991598037369,0.4795772239676084
19,1,bhb,1.9070495174773423,0.5708343698642685,0.38807729826910314,0.13632344586007933,-0.2979017834734903,1.4768814714907854,-1.2042345797706269,0.13632344586007933
20,1,bhb,1.5627568652318464,0.5142648214570976,0.45396781518114865,0.36352221232189186,-0.277046383115031,1.6102309363395313,-0.8831865116957477,0.36352221232189186
21,1,bhb,1.6964452159217513,0.5593571282014137,0.44202117949940295,0.8448582775398586,-0.30698746207074623,2.2263018568582167,-0.5365853017784995,0.8448582775398586
22,1,bhb,2.703385355238117,0.768960190358073,0.42299952193488116,0.28929333503387655,-0.31684017994424085,1.7150741447829603,-1.1364874747152074,0.28929333503387655
28,1,bhb,1.3989491975273332,0.7292170782165956,0.4163096746005222,0.8518299592445491,-0.32337454377838537,2.307015406247283,-0.603355487758185,0.8518299592445491
29,1,bhb,1.73399758922879,0.6445936561054447,0.5689880329459508,-0.7802641595462239,-0.6682698318614968,2.226950083830512,-3.787478402922959,-0.7802641595462239
32,1,bhb,1.8143905932888964,0.5663929474464195,0.4722579675018522,0.5127502900601559,-0.7350421431183846,3.8204399340928865,-2.7949393539725746,0.5127502900601559
33,1,bhb,2.0564105465448326,0.6317097200556148,0.45237671411324865,0.37330252045673923,-0.4432740157164841,2.368035591180918,-1.6214305502674393,0.37330252045673923
34,1,bhb,2.5182138000510412,0.5227138207095143,0.396963747578945,0.2144103009209483,-0.2722310016970194,1.4394498085575358,-1.010629206715639,0.2144103009209483
36,1,bhb,1.087394889220218,0.592185683291838,0.4896158248993807,0.9238439775629002,-0.3312992603692169,2.4146906492243763,-0.567002694098576,0.9238439775629002
37,1,bhb,2.0165702809285126,0.5578793078750173,0.33328319528620176,0.2804233554559409,-0.42620415415136564,2.198342049137086,-1.6374953382252047,0.2804233554559409
38,1,bhb,3.679331246958777,0.9061620949373702,0.2302870550849478,0.9872693938926071,-0.438083465417501,2.9586449882713612,-0.9841062004861472,0.9872693938926071
40,1,bhb,3.0619677306795863,0.5991582767379305,0.3897410516964205,-0.1576881910848419,-0.305107519081646,1.2152956447825654,-1.530672026952249,-0.1576881910848419
41,1,bhb,1.7900964682648848,0.6399654507209489,0.4279978105128337,0.20658257720179107,-0.6410038201835614,3.091099768027817,-2.6779346136242355,0.20658257720179107
43,1,bhb,1.9752354299851742,0.5973002947940383,0.4176172499685109,0.0661209961823303,-0.6058765034824254,2.7925652618532446,-2.6603232694885843,0.0661209961823303
101,1,bhb,2.1025766862359547,0.6509784756449705,0.3690473400388739,0.27629568031099017,-0.27015790562099185,1.4920062556054534,-0.9394148949834731,0.27629568031099017
104,1,bhb,1.8297954798286133,0.5743557988468386,0.44991997917270293,0.6554746921803324,-0.4384599467956325,2.6285444527606785,-1.317595068400014,0.6554746921803324
105,1,bhb,1.878692104154953,0.7432946142465147,0.550172336441933,0.22622962289247175,-0.2469807757881366,1.3376431139390865,-0.885183868154143,0.22622962289247175
106,1,bhb,2.045397540486445,0.7314970290039815,0.32698593819600186,0.44072866499165475,-0.27479882001272343,1.6773233550489102,-0.7958660250656008,0.44072866499165475
107,1,bhb,2.4719877180463676,0.6517514206643384,0.33601018145978456,0.5180642960446086,-0.3730519849899109,2.1967982284992074,-1.1606696364099904,0.5180642960446086
111,1,bhb,2.4909914559945756,0.5748753695696159,0.39870496308421544,0.3532254670974767,-0.5132909976450151,2.6630349565000446,-1.956584022305091,0.3532254670974767
117,1,bhb,2.8274886029731237,0.6278473537496218,0.32012350728415584,0.04238055862804479,-0.9054118128309263,4.1167337163672135,-4.031972599111124,0.04238055862804479
119,1,bhb,2.1156320942440945,0.5767766653367082,0.3771136161464046,0.4766562387468495,-0.39669125480587836,2.261766885373302,-1.3084544078796032,0.4766562387468495
120,1,bhb,2.017342639141783,0.7889438417731115,0.42285789917674066,-0.7419607949931629,-0.44509454468207515,1.2609646560761751,-2.744886246062501,-0.7419607949931629
