t,P_chosen,P_unchosen,P_left,P_right
25.164916042000005,0.5908212781070203,0.4091787218929797,0.5908212781070203,0.4091787218929797
25.714916042000006,0.5934532430038304,0.4065467569961696,0.5934532430038304,0.4065467569961696
26.264916042000003,0.5771889558969805,0.42281104410301945,0.5771889558969805,0.42281104410301945
26.814916042000004,0.5116068496029018,0.48839315039709813,0.5116068496029018,0.48839315039709813
35.00021350000024,0.46774636557390054,0.5322536344260995,0.46774636557390054,0.5322536344260995
35.55021350000025,0.5302020194579377,0.46979798054206234,0.5302020194579377,0.46979798054206234
36.100213500000244,0.6043475292919989,0.3956524707080011,0.6043475292919989,0.3956524707080011
36.65021350000025,0.6547525477525235,0.34524745224747655,0.6547525477525235,0.34524745224747655
37.200213500000245,0.6901999833631549,0.30980001663684514,0.6901999833631549,0.30980001663684514
37.75021350000024,0.6994211714651397,0.30057882853486023,0.6994211714651397,0.30057882853486023
38.30021350000025,0.7016262279524224,0.29837377204757765,0.7016262279524224,0.29837377204757765
44.88154520800053,0.43060592977776746,0.5693940702222327,0.43060592977776746,0.5693940702222327
45.431545208000536,0.4906389399660303,0.5093610600339697,0.4906389399660303,0.5093610600339697
45.98154520800053,0.5613058638779442,0.4386941361220558,0.5613058638779442,0.4386941361220558
46.53154520800054,0.623571493288082,0.37642850671191797,0.623571493288082,0.37642850671191797
47.081545208000534,0.6778503077668089,0.3221496922331911,0.6778503077668089,0.3221496922331911
47.63154520800053,0.6970660044991686,0.30293399550083144,0.6970660044991686,0.30293399550083144
54.71494187500029,0.5444772154982516,0.4555227845017485,0.4555227845017485,0.5444772154982516
55.2649418750003,0.49119338723282285,0.5088066127671771,0.5088066127671771,0.49119338723282285
55.814941875000294,0.42679608876111863,0.5732039112388814,0.5732039112388814,0.42679608876111863
56.3649418750003,0.34395875149237043,0.6560412485076296,0.6560412485076296,0.34395875149237043
56.914941875000295,0.30944265086968065,0.6905573491303194,0.6905573491303194,0.30944265086968065
57.46494187500029,0.30008806171467106,0.6999119382853289,0.6999119382853289,0.30008806171467106
63.69169995800057,0.47828060594983246,0.5217193940501675,0.5217193940501675,0.47828060594983246
64.24169995800057,0.46724322289511155,0.5327567771048884,0.5327567771048884,0.46724322289511155
64.79169995800058,0.4597828885750319,0.5402171114249681,0.5402171114249681,0.4597828885750319
65.34169995800058,0.4796956941593738,0.5203043058406263,0.5203043058406263,0.4796956941593738
65.89169995800057,0.6017585987381471,0.39824140126185287,0.39824140126185287,0.6017585987381471
66.44169995800057,0.6851947937473637,0.3148052062526363,0.3148052062526363,0.6851947937473637
73.26652204200018,0.4320441977850797,0.5679558022149203,0.4320441977850797,0.5679558022149203
73.81652204200017,0.47157581992854714,0.5284241800714529,0.47157581992854714,0.5284241800714529
74.36652204200018,0.5795376267630161,0.42046237323698393,0.5795376267630161,0.42046237323698393
74.91652204200018,0.6681722924311895,0.33182770756881064,0.6681722924311895,0.33182770756881064
75.46652204200018,0.6951926716677543,0.30480732833224566,0.6951926716677543,0.30480732833224566
76.01652204200018,0.7008980700610772,0.2991019299389228,0.7008980700610772,0.2991019299389228
84.37759658300074,0.5404905012968216,0.45950949870317837,0.5404905012968216,0.45950949870317837
84.92759658300074,0.528891559295541,0.47110844070445895,0.528891559295541,0.47110844070445895
85.47759658300075,0.5104209744178817,0.4895790255821183,0.5104209744178817,0.4895790255821183
86.02759658300074,0.45221863151053143,0.5477813684894686,0.45221863151053143,0.5477813684894686
86.57759658300074,0.36172593895520033,0.6382740610447997,0.36172593895520033,0.6382740610447997
87.12759658300074,0.3183445517065121,0.6816554482934879,0.3183445517065121,0.6816554482934879
87.67759658300074,0.29918939520554083,0.7008106047944591,0.29918939520554083,0.7008106047944591
92.65483479200047,0.4500678445474475,0.5499321554525525,0.4500678445474475,0.5499321554525525
93.20483479200047,0.47101849818178687,0.5289815018182131,0.47101849818178687,0.5289815018182131
93.75483479200048,0.5214195916882168,0.47858040831178317,0.5214195916882168,0.47858040831178317
94.30483479200048,0.6198335154242453,0.38016648457575475,0.6198335154242453,0.38016648457575475
94.85483479200047,0.6719634905733529,0.3280365094266471,0.6719634905733529,0.3280365094266471
95.40483479200047,0.6951899396920393,0.30481006030796065,0.6951899396920393,0.30481006030796065
95.95483479200047,0.7013092578048961,0.298690742195104,0.7013092578048961,0.298690742195104
96.50483479200048,0.7021455964913843,0.29785440350861564,0.7021455964913843,0.29785440350861564
97.05483479200048,0.7021990019792682,0.2978009980207318,0.7021990019792682,0.2978009980207318
