t,P_chosen,P_unchosen,P_left,P_right
26.838973458002148,0.574323965973308,0.42567603402669196,0.42567603402669196,0.574323965973308
27.388973458002148,0.6733037562595945,0.3266962437404055,0.3266962437404055,0.6733037562595945
27.938973458002145,0.7362618237917267,0.2637381762082734,0.2637381762082734,0.7362618237917267
28.488973458002146,0.7513591214246078,0.24864087857539213,0.24864087857539213,0.7513591214246078
29.038973458002147,0.75139005834297,0.24860994165702993,0.24860994165702993,0.75139005834297
36.6778473750026,0.3748343877902351,0.6251656122097649,0.6251656122097649,0.3748343877902351
37.227847375002604,0.519570140914638,0.48042985908536184,0.48042985908536184,0.519570140914638
37.7778473750026,0.7394575324135058,0.2605424675864943,0.2605424675864943,0.7394575324135058
38.327847375002605,0.7511558589073446,0.24884414109265549,0.24884414109265549,0.7511558589073446
38.8778473750026,0.7513879339029572,0.2486120660970429,0.2486120660970429,0.7513879339029572
39.4278473750026,0.7513900858796205,0.24860991412037942,0.24860991412037942,0.7513900858796205
39.977847375002604,0.7513900951214265,0.24860990487857343,0.24860990487857343,0.7513900951214265
46.50330837499932,0.2664599050635903,0.7335400949364097,0.2664599050635903,0.7335400949364097
47.053308374999325,0.2804006154386063,0.7195993845613937,0.2804006154386063,0.7195993845613937
47.60330837499932,0.31082612267192555,0.6891738773280744,0.31082612267192555,0.6891738773280744
48.15330837499933,0.6790867135621955,0.3209132864378045,0.6790867135621955,0.3209132864378045
48.703308374999324,0.7507126308433985,0.2492873691566015,0.7507126308433985,0.2492873691566015
56.2829806250018,0.31828102416505777,0.6817189758349422,0.31828102416505777,0.6817189758349422
56.8329806250018,0.36313541473484745,0.6368645852651525,0.36313541473484745,0.6368645852651525
57.3829806250018,0.5002241163532397,0.4997758836467603,0.5002241163532397,0.4997758836467603
57.932980625001804,0.6781951672880795,0.3218048327119205,0.6781951672880795,0.3218048327119205
58.4829806250018,0.7490167972988688,0.2509832027011311,0.7490167972988688,0.2509832027011311
66.0703876250016,0.5041072107134097,0.4958927892865903,0.4958927892865903,0.5041072107134097
66.6203876250016,0.6910693930738654,0.3089306069261345,0.3089306069261345,0.6910693930738654
67.17038762500161,0.7490706618313032,0.2509293381686969,0.2509293381686969,0.7490706618313032
67.7203876250016,0.7513673552523914,0.2486326447476087,0.2486326447476087,0.7513673552523914
68.2703876250016,0.7513899782372799,0.24861002176272007,0.24861002176272007,0.7513899782372799
68.8203876250016,0.7513900948381704,0.24860990516182968,0.24860990516182968,0.7513900948381704
75.98225366600018,0.4599219377452264,0.5400780622547736,0.5400780622547736,0.4599219377452264
76.53225366600017,0.6094714001104374,0.39052859988956257,0.39052859988956257,0.6094714001104374
77.08225366600018,0.7446365332781202,0.2553634667218798,0.2553634667218798,0.7446365332781202
77.63225366600018,0.7511573072848998,0.2488426927151003,0.2488426927151003,0.7511573072848998
78.18225366600018,0.7513836700298495,0.24861632997015046,0.24861632997015046,0.7513836700298495
78.73225366600018,0.7513900438244794,0.2486099561755207,0.2486099561755207,0.7513900438244794
85.88126175000143,0.2886050975069817,0.7113949024930183,0.2886050975069817,0.7113949024930183
86.43126175000143,0.3373648823989882,0.6626351176010118,0.3373648823989882,0.6626351176010118
86.98126175000144,0.5490926821670843,0.45090731783291566,0.5490926821670843,0.45090731783291566
87.53126175000143,0.7478269507998546,0.2521730492001454,0.7478269507998546,0.2521730492001454
88.08126175000143,0.751353357775441,0.24864664222455904,0.751353357775441,0.24864664222455904
