-7.422323703765869141e+00,-6.921730995178222656e+00
-7.153866291046142578e+00,-7.094719409942626953e+00
-7.198341369628906250e+00,-7.388364315032958984e+00
-7.084126472473144531e+00,-7.466357231140136719e+00
-7.004397392272949219e+00,-7.440848350524902344e+00
-7.049225807189941406e+00,-7.596674919128417969e+00
-7.139750003814697266e+00,-7.930114269256591797e+00
-6.966036319732666016e+00,-7.991387367248535156e+00
-7.548871517181396484e+00,-1.218021965026855469e+01
-7.656713485717773438e+00,-1.679512786865234375e+01
