subject_id,run,session,η,β,s
1,2,glc,0.49969763412579044,49.969763412579034,1.6766484223691398
2,2,glc,0.01636193708049907,1.636193708049908,6.96175925934549
3,2,glc,0.017276821593744867,1.7276821603956847,7.007979855356981
4,2,glc,4.548826676527647e-8,0.045123934254913386,5.949114257643587
7,2,glc,0.15664876928880103,15.664876929051669,0.570012084049525
8,2,glc,0.2537599457277321,25.37599457277321,1.903514381795843
9,2,glc,0.5051692567132972,50.516925671329716,0.3838975693014868
10,2,glc,0.008908201328177339,0.8908222489860503,4.353740274649447
11,2,glc,0.010149441750930811,1.014944175093081,1.1192562617511477
13,2,glc,0.020339923419386455,2.033994150685748,5.578926605920875
16,2,glc,0.49952718055709633,49.95277925353215,5.938508990734478
18,2,glc,0.0003359832168742436,0.03229038965225072,19.030796390044664
19,2,glc,0.08342288500885682,8.342288500885685,0.8180321681494912
20,2,glc,0.0009400464907901511,0.05161185207218081,7.462482255686707
21,2,glc,0.0006502890932228557,0.0636362467793291,89.92751575785157
22,2,glc,0.010024016403468993,1.0024016403468994,1.0062763906529695
28,2,glc,0.010369002951696033,1.0369002951696034,1.2602092487120573
29,2,glc,0.0006101600007500596,0.060264460979346055,5.347102743759715
32,2,glc,0.0003108671404719707,0.03108671393413909,8.072944344181847
33,2,glc,0.0008508005216692762,0.08508005215686712,37.54370294478032
34,2,glc,0.0004181839188016676,0.04181839189169479,4.268395760424487
36,2,glc,0.4702347977200624,47.02347977200622,35.721100258385086
37,2,glc,0.4411054197702267,44.11192919865029,18.499276985848386
38,2,glc,0.16501335974780337,16.501335974780336,0.7551987322985575
40,2,glc,0.0005424256199679592,0.05435503913183891,41.75922299157084
41,2,glc,0.0007946674203804754,0.079549142790714,2.632272614306761
43,2,glc,0.02039731960019321,2.0397319600137536,1.2806416738868065
101,2,glc,0.2565526555942803,25.655265558314905,4.967810183730573
102,2,glc,0.15621764920623848,15.621764920568049,9.9702920481934
104,2,glc,0.010380675965221567,1.0380675965222126,0.08541946509201272
105,2,glc,0.5056824020008167,50.568240199898185,3.938305397910487
106,2,glc,0.011064343104347079,1.1064343104347079,1.8429261236652414
107,2,glc,0.0007222674287883231,0.07222687469314927,9.22885238889177
111,2,glc,1.5025887398397817e-5,0.0015025887398083697,9.048027609169445
117,2,glc,0.20131935328061407,20.131935328060653,32.63066963535695
118,2,glc,5.3280020257359145e-9,5.328002011943149e-7,14.891252352195297
119,2,glc,0.44883502168638023,44.883502168638024,1.7041286271227127
