subject_id,run,session,η,β,s
1,2,bhb,0.04632304947895065,4.632304947892529,1.4475993285323558
2,2,bhb,0.010010059824604182,1.0010059824604183,1.0083672598942282
3,2,bhb,0.5001690067148684,50.01690067151614,35.738801771375904
4,2,bhb,0.011889996049785334,1.18899960221962,4.558030527292178
7,2,bhb,0.012434871161477129,1.2434871161477108,0.013954606421454204
8,2,bhb,0.0004846916284379495,0.04834457182747384,10.317018745234462
9,2,bhb,0.16124421292138166,16.124421292138155,0.6668457124680269
10,2,bhb,0.000978670761346844,0.10326306293445006,1.82214210767822
11,2,bhb,0.00034857284296819504,0.03485728429681662,3.3751727462426113
13,2,bhb,0.034860457488231744,3.4860457495333375,1.2359407676691003
16,2,bhb,0.04561749625937553,4.571556158478294,6.2477807806949075
18,2,bhb,0.010176350030398152,1.0176350030398151,1.12629076993957
19,2,bhb,0.0003191209559045009,0.03191209559045026,39.153852096447764
20,2,bhb,0.000749757934398389,0.07497724457609203,8.572480987907017
21,2,bhb,0.0009155705168361266,0.09155705171590381,10.052150249548294
22,2,bhb,0.0005501632910302669,0.05501632910300231,24.345129894405787
28,2,bhb,0.0006549477412303984,0.0654947741223819,6.900013951024389
29,2,bhb,0.0006181876992639527,0.06181876992515752,27.508374404327913
32,2,bhb,0.3192478073592992,31.924780739441356,3.0933028990294336
33,2,bhb,0.5401438971523811,54.01438971523811,2.007844314082572
34,2,bhb,0.010708426417969758,1.0708426417969759,1.827186956705697
36,2,bhb,0.25019604152662345,25.019601236215095,35.40253385217618
37,2,bhb,0.3889454502555556,37.48029434618586,35.58947029038084
38,2,bhb,0.00011913826459183143,0.15165119568967414,10.339560750498425
40,2,bhb,0.13953848592701223,13.953863596940334,0.9705847372484281
41,2,bhb,0.02250671855151464,2.2506718551427896,1.141774840162993
43,2,bhb,0.0006687756779543882,0.06785119464648509,41.4842881380415
101,2,bhb,0.011394821101554887,1.139482110155488,2.5354571424888084
104,2,bhb,0.15111007731388545,15.111237983811904,26.37543664556164
105,2,bhb,0.010705165212076146,1.0705165212076146,1.8265152488590273
106,2,bhb,0.014796208730868945,1.4796208730868954,1.802516925347808
107,2,bhb,0.0005797098171017536,0.07070993212058017,4.763922511916435
111,2,bhb,0.00024221165637758853,0.0242211850363576,10.616764270036755
117,2,bhb,0.14277022397532918,14.277022397532898,0.27194029032970946
119,2,bhb,0.021466192507503267,2.3122397419826255,7.842905930399262
120,2,bhb,0.00040997683882284966,0.04099768388179629,59.75208020736762
