t_loglikelihood,t_logposterior_stimulus,t_logposterior,t_RPE_pos,t_RPE_neg,loglikelihood,logposterior_stimulus,logposterior,RPE_pos,RPE_neg
16.03584216698073,16.03584216698073,17.362885209033266,17.362885209033266,0.0,-4.704482195356759,0.0,0.0,0.00030909384963197635,0.0
24.323966125026345,24.323966125026345,24.987900333013386,24.987900333013386,0.0,-3.8303969092443557,-1.603162047558726e-12,-1.1324274851176597e-12,0.0001806413813069433,0.0
32.740381584037095,32.740381584037095,34.36213083402254,34.36213083402254,0.0,-5.297822682481402,-2.1262991367621e-12,-1.3038459201197838e-12,0.00011389329941012158,0.0
38.923820000025444,38.923820000025444,39.55889162502717,0.0,39.55889162502717,-5.067019837407762,-2.143174526736402e-12,-5.758060694915912e-12,0.0,-0.0005031406010269436
47.54778991697822,47.54778991697822,48.754922957974486,48.754922957974486,0.0,-5.741964372707087,-3.12017078840654e-12,-2.5126567493316543e-12,0.00023436940347421455,0.0
55.353283250005916,55.353283250005916,56.31921320792753,56.31921320792753,0.0,-6.2425500328456796,-4.566125255678344e-12,-2.9620750296999176e-12,0.00014164239527638208,0.0
61.47661262494512,61.47661262494512,62.86492266692221,0.0,62.86492266692221,-8.470983039964848,-1.3503864693120704e-11,-2.688338440748339e-11,0.0,-0.0004629207286531553
68.14199545898009,68.14199545898009,69.93192179198377,69.93192179198377,0.0,-5.2403024977256205,-3.908873225100251e-12,-3.654854197066015e-12,0.0002876196316873124,0.0
75.61837637494318,75.61837637494318,76.5949326249538,0.0,76.5949326249538,-7.041764645694922,-1.0362377622641361e-11,-1.1713296999005252e-11,0.0,-0.00034473723385238826
84.38307524996344,84.38307524996344,85.25095512496773,85.25095512496773,0.0,-6.144897532857938,-7.58593188265877e-12,-6.9189098894639756e-12,0.0002793100989343471,0.0
93.14561770902947,93.14561770902947,94.58693604310974,0.0,94.58693604310974,-16.49644299101881,-1.6203856034735509e-9,-1.2699139517735603e-9,0.0,-0.00022379039253045792
99.27790029195603,99.27790029195603,100.42195470898878,0.0,100.42195470898878,-7.96816520595166,-2.4209967364186014e-11,-1.6054713114499464e-11,0.0,-0.00015206539830580658
108.06385999999475,108.06385999999475,108.90593845804688,0.0,108.90593845804688,-15.777592769166606,-1.7602204138711386e-9,-1.0097345182202844e-9,0.0,-7.936002342933937e-5
116.7717092919629,116.7717092919629,117.79517391696572,0.0,117.79517391696572,-13.586363742028567,-4.6003378884051926e-10,-2.632827289517081e-10,0.0,-7.810890231464574e-5
124.06473774998449,124.06473774998449,125.79997591697611,125.79997591697611,0.0,-6.578057210322208,-1.6153300919086178e-11,-1.646238700914182e-11,0.0003148908991470265,0.0
132.32183699996676,132.32183699996676,132.97796716704033,132.97796716704033,0.0,-7.6219718324196295,-2.916156205401421e-11,-2.2662760557068395e-11,0.00022044529062621138,0.0
138.55541312496644,138.55541312496644,139.27319504192565,0.0,139.27319504192565,-8.873072795243695,-5.679190451246541e-11,-4.6146197973939707e-11,0.0,-0.00023779359350184528
