t_loglikelihood,t_logposterior_stimulus,t_logposterior,t_RPE_pos,t_RPE_neg,loglikelihood,logposterior_stimulus,logposterior,RPE_pos,RPE_neg
23.524374875007197,23.524374875007197,24.04785799898673,0.0,24.04785799898673,-7.059471768503494,0.0,0.0,0.0,-0.12827632779714015
31.92296870809514,31.92296870809514,32.57488299917895,32.57488299917895,0.0,-2.9881345766273593,-0.009199963474757045,-30.666553951860674,1.2327112348903313e-14,0.0
38.08873312501237,38.08873312501237,38.850871958071366,0.0,38.850871958071366,-3.4853466107463795,-0.41096965384758377,-0.0047888193733931494,0.0,0.0
46.71370383305475,46.71370383305475,46.71583691611886,0.0,46.71583691611886,-4.504362725251046,-0.3023501773801769,-34.972443096478266,0.0,-1.6627902103914008e-16
54.92187941609882,54.92187941609882,56.07688499917276,56.07688499917276,0.0,-4.217295436874805,-0.5192955898667524,-35.65923018359473,8.366997067527252e-17,0.0
60.750742125092074,60.750742125092074,61.37888312409632,0.0,61.37888312409632,-4.6865337297007565,-0.5068526284266825,-0.01409412437513513,0.0,0.0
68.0232534580864,68.0232534580864,68.66689079010393,0.0,68.66689079010393,-6.350509706637407,-0.50763843971274,-0.023503352337824523,0.0,0.0
74.751497499994,74.751497499994,75.34891058306675,0.0,75.34891058306675,-10.854554571197518,-0.35265090120551257,0.0,0.0,0.0
83.54866962507367,83.54866962507367,84.6179172070697,0.0,84.6179172070697,-5.055322050295398,-0.3587987557118071,0.0,0.0,0.0
92.19855958304834,92.19855958304834,92.92490449897014,92.92490449897014,0.0,-6.23109612833667,-0.3587467764067771,-35.20324500898513,1.3200836798941374e-16,0.0
98.8738599580247,98.8738599580247,99.71593374910299,0.0,99.71593374910299,-5.073391289143995,-0.6692351947942496,-0.025896860977330682,0.0,0.0
107.94259020802565,107.94259020802565,109.85725795803592,0.0,109.85725795803592,-5.468948669488204,-0.6200347457941069,-0.027235470634731307,0.0,0.0
116.09458304103464,116.09458304103464,117.17594062408898,0.0,117.17594062408898,-5.820297039602338,-0.562285358163364,-0.029874521555274036,0.0,0.0
123.46862787508871,123.46862787508871,125.40394954115618,0.0,125.40394954115618,-5.159824153083622,-0.5851598405461083,-35.77721914787576,0.0,-7.43579932508841e-17
131.80516745802015,131.80516745802015,132.61794383300003,0.0,132.61794383300003,-5.0465280423292755,-0.267905912638823,0.0,0.0,0.0
138.24164750007913,138.24164750007913,139.31197820801754,0.0,139.31197820801754,-6.322808744062545,-0.23549863425933903,0.0,0.0,0.0
145.72051229106728,145.72051229106728,146.3049703730503,146.3049703730503,0.0,-8.348331545889065,-0.5100329028826565,-35.63620529929183,8.561881189484373e-17,0.0
153.71479787502903,153.71479787502903,154.46498066606,0.0,154.46498066606,-7.786878699557148,-0.3278353603006323,0.0,0.0,0.0
161.86766841600183,161.86766841600183,162.6489807490725,0.0,162.6489807490725,-11.993163920961765,-0.3812707202276897,0.0,0.0,0.0
171.3953230830375,171.3953230830375,172.16399424895644,0.0,172.16399424895644,-7.514774911204858,-0.7309162891412928,-0.13685245112988476,0.0,0.0
178.37081195809878,178.37081195809878,180.52100974903442,0.0,180.52100974903442,-9.911115364115265,-0.020045278980335368,-31.44098467934703,0.0,-5.682381170778047e-15
185.14406858303118,185.14406858303118,185.2810009160312,185.2810009160312,0.0,-4.7608675446777164,-0.49273233155519147,-35.41948411129893,1.0633837344072002e-16,0.0
193.30903133307584,193.30903133307584,194.0120032490231,0.0,194.0120032490231,-4.559388728896803,-0.5392235822800711,-35.608666317176024,0.0,-8.800943338109127e-17
201.487211083062,201.487211083062,202.85902258299757,0.0,202.85902258299757,-20.422401068931894,-0.509367896845557,-6.309457564412924e-6,0.0,0.0
209.98320337501355,209.98320337501355,210.90201991598587,0.0,210.90201991598587,-4.163359960672239,-0.4271851804170623,-0.06321309291424981,0.0,0.0
217.66110179107636,217.66110179107636,218.7060410400154,218.7060410400154,0.0,-6.44137815124582,-0.5479855398761524,-35.586206257504344,9.000849600379646e-17,0.0
225.74054629099555,225.74054629099555,226.6580551660154,0.0,226.6580551660154,-8.422076887292622,-0.42885782012627516,-0.05101613698879426,0.0,0.0
232.7165601250017,232.7165601250017,232.7190414990764,0.0,232.7190414990764,-7.938676367704828,-0.6001514258600125,-35.74814120683726,0.0,-7.65519133513888e-17
240.01170462509617,240.01170462509617,241.37604208209086,0.0,241.37604208209086,-14.598791991561475,-0.7575948358081437,-0.0026395737858067037,0.0,0.0
247.75761883310042,247.75761883310042,247.76206879119854,0.0,247.76206879119854,-7.923268147214806,-0.5817452747553435,-0.10804975996672894,0.0,0.0
255.62631570803933,255.62631570803933,257.3010686240159,0.0,257.3010686240159,-8.016008467305223,-0.39562859771500847,-0.08534938490918442,0.0,0.0
261.47695008304436,261.47695008304436,262.85307249904145,0.0,262.85307249904145,-9.884931774408726,-0.8095440372165381,-0.696101589889226,0.0,0.0
268.06548350001685,268.06548350001685,270.1780869989889,0.0,270.1780869989889,-7.540703765573517,-0.09111530178688021,-33.148511024120936,0.0,-1.0302938165179736e-15
279.2181722080568,279.2181722080568,281.03607429005206,0.0,281.03607429005206,-8.676652046070897,-0.1630985209451179,-34.09573349749203,0.0,-3.995651480702525e-16
287.9977395000169,287.9977395000169,289.6980920820497,0.0,289.6980920820497,-8.166452682142276,-0.14840041259904524,-0.07701324299010182,0.0,0.0
296.09531287499703,296.09531287499703,297.5861107080709,0.0,297.5861107080709,-9.167245332803233,-0.1300708693942383,-33.87348394626922,0.0,-4.99010120521554e-16
302.8262710000854,302.8262710000854,303.48842395702377,0.0,303.48842395702377,-6.744567579137862,-0.22777970839636552,-0.13252201022913646,0.0,0.0
311.48910120804794,311.48910120804794,313.1551155410707,0.0,313.1551155410707,-5.378626341077578,-0.22751705500461572,-0.1363251768086977,0.0,0.0
317.34213441610336,317.34213441610336,318.2231218741508,0.0,318.2231218741508,-13.951066427661619,-0.6835291824710303,-0.00127459150757403,0.0,0.0
324.4232401250629,324.4232401250629,325.2101445409935,325.2101445409935,0.0,-6.762449967344514,-0.22745244685837207,-34.578540388435705,2.4655126291013283e-16,0.0
331.30860991601367,331.30860991601367,333.0861318730749,333.0861318730749,0.0,-8.384828966307953,-0.24855411580105624,-34.72586398522397,2.127773551842733e-16,0.0
339.4428974160692,339.4428974160692,340.5701464980375,340.5701464980375,0.0,-5.906200171517192,-0.5951449076598241,-35.75123466071433,7.631546944095375e-17,0.0
347.66306987509597,347.66306987509597,349.60017712507397,349.60017712507397,0.0,-6.651850345841422,-0.4457939259020307,-35.372029985473866,1.1150621596903878e-16,0.0
353.99502179108094,353.99502179108094,355.3791537490906,0.0,355.3791537490906,-14.787492819071845,-0.1486172940970043,-0.00022453757898333038,0.0,0.0
361.2241445410764,361.2241445410764,362.6731402070727,0.0,362.6731402070727,-16.670197737619308,-0.10835489480111349,-0.00012742065790760648,0.0,0.0
375.0934629580006,375.0934629580006,376.99116391595453,376.99116391595453,0.0,-4.201287936720435,-0.43457615983254794,-35.18457480771208,1.344961421470953e-16,0.0
384.0490525410278,384.0490525410278,385.3161698320182,0.0,385.3161698320182,-8.819141628587714,-0.16294160452355122,-0.015978525617393657,0.0,0.0
