t_loglikelihood,t_logposterior_stimulus,t_logposterior,t_RPE_pos,t_RPE_neg,loglikelihood,logposterior_stimulus,logposterior,RPE_pos,RPE_neg
16.03637854200133,16.03637854200133,17.43885662500179,17.43885662500179,0.0,-4.990492460975936,0.0,0.0,0.07617813320070604,0.0
23.534831458000554,23.534831458000554,24.335163374998956,0.0,24.335163374998956,-5.588502982963207,-0.00012750874277500657,-6.375640369782332e-5,0.0,0.0
32.22255087499798,32.22255087499798,32.97984341699703,0.0,32.97984341699703,-5.555210081589193,-0.00013509505303765934,-0.00013277961695745688,0.0,0.0
38.38877504199991,38.38877504199991,39.06687770799908,0.0,39.06687770799908,-3.8593179585837505,-9.661377434699858e-5,-23.618393036643436,0.0,-8.424081390311903e-12
47.20423224999831,47.20423224999831,48.280871584000124,48.280871584000124,0.0,-8.528689720304603,-0.17251395684666804,-34.373394130105716,1.797566336889841e-16,0.0
54.91043999999965,54.91043999999965,55.88889983300032,0.0,55.88889983300032,-5.403247451220962,-0.6593574924622052,-35.974680590308104,0.0,-3.624557992644088e-17
61.03307620800115,61.03307620800115,62.33189675000176,0.0,62.33189675000176,-5.446574734368399,-0.27373672588303677,0.0,0.0,0.0
67.63249570799962,67.63249570799962,68.45089933299823,68.45089933299823,0.0,-7.084870593197414,-0.2693809922295882,-34.869737073772804,1.0942736078896339e-16,0.0
75.27064554200115,75.27064554200115,75.97291191700424,0.0,75.97291191700424,-3.8603999846661985,-0.6714128009689704,-35.99955083345874,0.0,-3.5355260659081915e-17
84.0493429579983,84.0493429579983,84.83790374899763,84.83790374899763,0.0,-5.829570049560371,-0.4054105178031975,-35.3503424287012,6.767085617744322e-17,0.0
92.80663354200078,92.80663354200078,94.0049337920027,0.0,94.0049337920027,-4.406565370909649,-0.6709064810019356,-8.881784197001252e-16,0.0,0.0
99.56781554199915,99.56781554199915,100.90092962600102,0.0,100.90092962600102,-6.755000394707097,-0.39395939889194054,0.0,0.0,0.0
107.93488074999914,107.93488074999914,109.19494670800123,0.0,109.19494670800123,-4.278282419787806,-0.34542102745135583,-2.6645352591003757e-15,0.0,0.0
116.79993645799914,116.79993645799914,117.43496249999953,0.0,117.43496249999953,-6.7715666472486635,-0.4022628865343547,0.0,0.0,0.0
124.09591183299926,124.09591183299926,124.86495012500018,124.86495012500018,0.0,-6.997470274968641,-0.4860231734855569,-35.574989137865096,5.4055370088868576e-17,0.0
132.4494439170012,132.4494439170012,133.22797983400233,0.0,133.22797983400233,-8.824135548089911,-0.37958432818699706,-0.001507564572108322,0.0,0.0
